TOSET1,COL,712383.745,564669.792,16.984
TOSET2,COL,712387.227,564669.735,16.984
TOSET3,COL,712391.276,564669.668,16.984
TOSET4,COL,712396.267,564669.585,16.984
TOSET5,COL,712396.211,564666.164,16.984
TOSET6,COL,712389.195,564666.28,16.984
TOSET7,COL,712383.715,564666.371,16.984
TOSET8,COL,712384.245,564662.866,16.984
TOSET9,COL,712389.137,564662.785,16.984
TOSET10,COL,712396.153,564662.669,16.984
TOSET11,COL,712396.088,564658.744,16.984
TOSET12,COL,712392.576,564658.802,16.984
TOSET13,COL,712389.072,564658.86,16.984
TOSET14,COL,712384.18,564658.941,16.984
TOSET15,COL,712384.122,564655.421,16.984
TOSET16,COL,712389.014,564655.34,16.984
TOSET17,COL,712392.518,564655.282,16.984
TOSET18,COL,712396.03,564655.223,16.984
TOSET19,COL,712395.964,564651.29,16.984
TOSET20,COL,712388.949,564651.406,16.984
TOSET21,COL,712384.057,564651.487,16.984
TOSET22,COL,712383.396,564648.009,16.984
TOSET23,COL,712388.891,564647.919,16.984
TOSET24,COL,712391.545,564649.942,16.984
TOSET25,COL,712395.907,564647.803,16.984
TOSET26,COL,712395.85,564644.382,16.984
TOSET27,COL,712390.846,564643.667,16.984
TOSET28,COL,712390.842,564643.43,16.984
TOSET29,COL,712390.726,564643.434,16.984
TOSET30,COL,712390.73,564643.673,16.984
TOSET31,COL,712386.797,564643.738,16.984
TOSET32,COL,712386.793,564643.499,16.984
TOSET33,COL,712383.339,564644.589,16.984
TOSET34,COL,712383.309,564642.788,16.984
TOSET35,COL,712383.253,564639.375,16.984
TOSET36,COL,712388.748,564639.284,16.984
TOSET37,COL,712395.764,564639.168,16.984
TOSET38,COL,712395.706,564635.672,16.984
TOSET39,COL,712388.69,564635.789,16.984
TOSET40,COL,712383.798,564635.87,16.984
TOSET41,COL,712383.733,564631.936,16.984
TOSET42,COL,712392.129,564631.797,16.984
TOSET43,COL,712395.641,564631.739,16.984
TOSET44,COL,712395.582,564628.211,16.984
TOSET45,COL,712392.07,564628.269,16.984
TOSET46,COL,712388.567,564628.327,16.984
TOSET47,COL,712383.675,564628.408,16.984
TOSET48,COL,712382.387,564624.511,16.984
TOSET49,COL,712386.477,564624.443,16.984
TOSET50,COL,712390.526,564624.376,16.984
TOSET51,COL,712395.517,564624.294,16.984
TOSET52,COL,712395.403,564617.374,16.984
TOSET53,COL,712390.412,564617.46,16.984
TOSET54,COL,712386.363,564617.527,16.984
TOSET55,COL,712382.272,564617.595,16.984
TOSET56,COL,712395.82,564642.58,16.984
TOSET57,COL,712391.333,564637.166,16.984
TOSET58,COL,712388.625,564631.855,16.984
TOSET59,COL,712391.78,564664.163,16.984
